ID,Time Casa,Time Fora,Campeonato,Prob Casa,Prob Empate,Prob Fora,Prob Over25,Prob BTTS,Mercado,Odd Casa,Odd Empate,Odd Fora,EV Casa,EV Empate,EV Fora,Edge Casa,Edge Empate,Edge Fora,Stake,Confiança,Perfil,Data,Probabilidade,Resultado
1,Mexico,África do sul,Copa do mundo,0.3969,0.2275,0.3756,0.5147,0.5135,Vitória Fora,1.46,4.3,7.8,-0.42,-0.02,1.93,-0.2581,0.0051,0.253,5,10.0,⚖️ Equilibrado,2026-06-20,0.3969,PENDENTE
2,Coreia do sul,República Tcheca,Copa do mundo,0.3688,0.225,0.4062,0.3526,0.4131,Vitória Fora,2.6,3.3,3.05,-0.04,-0.26,0.24,-0.0099,-0.0734,0.0833,2,8.271268414044721,⚖️ Equilibrado,2026-06-20,0.4062,PENDENTE
3,Canadá,Bosnia,Copa do mundo,0.5449,0.188,0.2671,0.3589,0.4296,Vitória Fora,1.88,3.45,4.45,0.02,-0.35,0.19,0.0366,-0.0889,0.0523,2,7.927306160815846,⚖️ Equilibrado,2026-06-20,0.5449,PENDENTE
4,EUA,Paraguai,Copa do mundo,0.5877,0.1766,0.2357,0.0859,0.1603,Under 2.5,2.1,3.2,3.9,0.23,-0.43,-0.08,0.132,-0.1224,-0.0096,5,7.0412729901563615,🧱 Jogo Defensivo,2026-06-21,0.5877,PENDENTE
5,Catar,Suiça,Copa do mundo,0.2725,0.19,0.5375,0.2113,0.2981,Under 2.5,17.0,6.4,1.2,3.63,0.22,-0.35,0.2164,0.041,-0.2573,5,10.0,🧱 Jogo Defensivo,2026-06-26,0.5375,PENDENTE
6,Brasil,Marrocos,Copa do mundo,0.4077,0.2246,0.3677,0.477,0.5228,Vitória Fora,1.77,3.6,5.1,-0.28,-0.19,0.88,-0.1361,-0.0428,0.1789,5,10.0,⚖️ Equilibrado,2026-06-26,0.4077,PENDENTE
7,Haiti,Escócia,Copa do mundo,0.3453,0.2165,0.4382,0.05,0.1018,Under 2.5,5.4,4.25,1.6,0.86,-0.08,-0.3,0.1682,-0.0086,-0.1596,5,10.0,🧱 Jogo Defensivo,2026-06-26,0.4382,PENDENTE
8,Austrália,Turquia,Copa do mundo,0.3448,0.2163,0.4389,0.2474,0.3154,Under 2.5,5.15,3.65,1.74,0.78,-0.21,-0.24,0.1586,-0.0464,-0.1122,5,10.0,🧱 Jogo Defensivo,2026-06-26,0.4389,PENDENTE
9,Alemanha,Curaçao,Copa do mundo,0.6236,0.1671,0.2094,0.1063,0.1504,Under 2.5,1.04,23.0,45.0,-0.35,2.84,8.42,-0.3125,0.1247,0.1878,5,10.0,🧱 Jogo Defensivo,2026-06-26,0.6236,PENDENTE
10,Holanda,Japão,Copa do mundo,0.4295,0.2188,0.3517,0.3643,0.3841,Vitória Fora,2.02,3.45,3.9,-0.13,-0.25,0.37,-0.0459,-0.0596,0.1054,5,10.0,⚖️ Equilibrado,2026-06-26,0.4295,PENDENTE
11,Costa do marfim,Equador,Copa do mundo,0.3394,0.2143,0.4463,0.2974,0.3288,BTTS NÃO,3.3,2.95,2.5,0.12,-0.37,0.12,0.0486,-0.111,0.0624,2,7.228460173357533,🧱 Jogo Defensivo,2026-06-26,0.4463,PENDENTE
12,Suécia,Tunísia,Copa do mundo,0.5497,0.1867,0.2635,0.0881,0.1258,Under 2.5,1.92,3.3,4.5,0.06,-0.38,0.19,0.0519,-0.1029,0.0511,2,6.000054187633566,🧱 Jogo Defensivo,2026-06-26,0.5497,PENDENTE
13,Espanha,Cabo verde,Copa do mundo,0.7165,0.1423,0.1412,0.535,0.5707,Under 2.5,1.09,12.0,22.0,-0.22,0.71,2.11,-0.1604,0.0626,0.0978,2,10.0,🎯 Favorito Forte,2026-06-26,0.7165,PENDENTE
14,Bélgica,Egito,Copa do mundo,0.4444,0.2148,0.3408,0.4828,0.5282,Vitória Fora,1.56,4.2,6.1,-0.31,-0.1,1.08,-0.1702,-0.0134,0.1836,5,10.0,⚖️ Equilibrado,2026-06-26,0.4444,PENDENTE
